chromosome	length	length_cumsum
chrM	16571	0
chr1	249250621	16571
chr2	243199373	249267192
chr3	198022430	492466565
chr4	191154276	690488995
chr5	180915260	881643271
chr6	171115067	1062558531
chr7	159138663	1233673598
chr8	146364022	1392812261
chr9	141213431	1539176283
chr10	135534747	1680389714
chr11	135006516	1815924461
chr12	133851895	1950930977
chr13	115169878	2084782872
chr14	107349540	2199952750
chr15	102531392	2307302290
chr16	90354753	2409833682
chr17	81195210	2500188435
chr18	78077248	2581383645
chr19	59128983	2659460893
chr20	63025520	2718589876
chr21	48129895	2781615396
chr22	51304566	2829745291
chrX	155270560	2881049857
chrY	59373566	3036320417
